GO.ID,Term,Annotated,Significant,Expected,classic
GO:0065007,biological regulation,5475,1550,1207.66,< 1e-30
GO:0009751,response to salicylic acid,401,206,88.45,< 1e-30
GO:0009651,response to salt stress,535,244,118.01,< 1e-30
GO:0009753,response to jasmonic acid,502,228,110.73,< 1e-30
GO:0006979,response to oxidative stress,482,215,106.32,3.4e-29
GO:0033554,cellular response to stress,967,360,213.3,8.2e-29
GO:0007568,aging,259,129,57.13,4.0e-23
GO:0009266,response to temperature stimulus,711,267,156.83,4.9e-22
GO:0090693,plant organ senescence,212,105,46.76,7.8e-19
GO:0010150,leaf senescence,201,99,44.34,1.3e-17
GO:0071407,cellular response to organic cyclic comp...,249,115,54.92,1.6e-17
GO:0009404,toxin metabolic process,85,54,18.75,2.2e-16
GO:0009987,cellular process,11361,2671,2505.98,2.9e-16
GO:0002682,regulation of immune system process,180,88,39.7,1.5e-15
GO:0019748,secondary metabolic process,538,195,118.67,1.5e-14
GO:0002237,response to molecule of bacterial origin,106,59,23.38,4.9e-14
GO:0071215,cellular response to abscisic acid stimu...,262,109,57.79,6.7e-13
GO:0097306,cellular response to alcohol,262,109,57.79,6.7e-13
GO:0009867,jasmonic acid mediated signaling pathway,151,73,33.31,7.7e-13
GO:0009723,response to ethylene,190,86,41.91,7.7e-13
GO:0071395,cellular response to jasmonic acid stimu...,158,75,34.85,1.2e-12
GO:0006955,immune response,327,127,72.13,3.1e-12
GO:0009056,catabolic process,1661,477,366.38,8.0e-12
GO:0045087,innate immune response,302,117,66.61,2.7e-11
GO:0032101,regulation of response to external stimu...,170,76,37.5,3.5e-11
GO:0002831,regulation of response to biotic stimulu...,167,74,36.84,1.0e-10
GO:0071446,cellular response to salicylic acid stim...,124,59,27.35,2.7e-10
GO:0044248,cellular catabolic process,1367,395,301.53,3.0e-10
GO:0071396,cellular response to lipid,392,139,86.47,5.7e-10
GO:0009738,abscisic acid-activated signaling pathwa...,206,83,45.44,2.4e-09
GO:0042430,indole-containing compound metabolic pro...,152,66,33.53,2.9e-09
GO:0009408,response to heat,247,95,54.48,3.1e-09
GO:0009409,response to cold,397,136,87.57,1.1e-08
GO:0010646,regulation of cell communication,350,122,77.2,2.0e-08
GO:0009966,regulation of signal transduction,334,117,73.67,2.9e-08
GO:0008219,cell death,191,75,42.13,5.0e-08
GO:0023051,regulation of signaling,340,117,75,8.7e-08
GO:0071369,cellular response to ethylene stimulus,94,43,20.73,2.8e-07
GO:0009873,ethylene-activated signaling pathway,82,39,18.09,2.8e-07
GO:0016310,phosphorylation,884,257,194.99,2.9e-07
GO:0048518,positive regulation of biological proces...,1031,293,227.42,4.0e-07
GO:0009863,salicylic acid mediated signaling pathwa...,95,43,20.95,4.0e-07
GO:0048827,phyllome development,544,169,119.99,4.3e-07
GO:0035556,intracellular signal transduction,305,103,67.28,1.4e-06
GO:0048584,positive regulation of response to stimu...,210,76,46.32,1.8e-06
GO:0006468,protein phosphorylation,717,210,158.15,2.1e-06
GO:0009626,plant-type hypersensitive response,67,32,14.78,2.9e-06
GO:0034050,host programmed cell death induced by sy...,70,33,15.44,2.9e-06
GO:0048366,leaf development,405,128,89.33,4.1e-06
GO:0000160,phosphorelay signal transduction system,96,41,21.18,4.6e-06
GO:0048585,negative regulation of response to stimu...,204,73,45,4.7e-06
GO:0000302,response to reactive oxygen species,149,57,32.87,5.1e-06
GO:0010941,regulation of cell death,91,39,20.07,7.1e-06
GO:0050776,regulation of immune response,99,41,21.84,1.1e-05
GO:0099402,plant organ development,1198,323,264.25,1.7e-05
GO:0002213,defense response to insect,37,20,8.16,2.1e-05
GO:0031349,positive regulation of defense response,76,33,16.76,2.5e-05
GO:0048522,positive regulation of cellular process,800,224,176.46,2.9e-05
GO:0031348,negative regulation of defense response,64,29,14.12,2.9e-05
GO:2000022,regulation of jasmonic acid mediated sig...,38,20,8.38,3.6e-05
GO:0012501,programmed cell death,137,51,30.22,3.7e-05
GO:0045088,regulation of innate immune response,87,36,19.19,3.9e-05
GO:0009814,"defense response, incompatible interacti...",127,48,28.01,3.9e-05
GO:0009627,systemic acquired resistance,117,45,25.81,4.1e-05
GO:0006796,phosphate-containing compound metabolic ...,1417,371,312.56,6.1e-05
GO:0002239,response to oomycetes,79,33,17.43,6.5e-05
GO:0032509,endosome transport via multivesicular bo...,31,17,6.84,7.0e-05
GO:0006749,glutathione metabolic process,34,18,7.5,8.0e-05
GO:0042542,response to hydrogen peroxide,64,28,14.12,8.7e-05
GO:0009636,response to toxic substance,121,45,26.69,0.00011
GO:0006793,phosphorus metabolic process,1457,378,321.38,0.00012
GO:0006470,protein dephosphorylation,139,50,30.66,0.00012
GO:0009991,response to extracellular stimulus,234,76,51.62,0.00014
GO:0032103,positive regulation of response to exter...,69,29,15.22,0.00016
GO:2000068,regulation of defense response to insect,10,8,2.21,0.00016
GO:0048367,shoot system development,1028,274,226.75,0.00017
GO:0002238,response to molecule of fungal origin,17,11,3.75,0.00019
GO:0071985,multivesicular body sorting pathway,33,17,7.28,0.00019
GO:0098754,detoxification,100,38,22.06,0.00021
GO:0002832,negative regulation of response to bioti...,39,19,8.6,0.00021
GO:0032102,negative regulation of response to exter...,39,19,8.6,0.00021
GO:0031668,cellular response to extracellular stimu...,178,60,39.26,0.00022
GO:0002833,positive regulation of response to bioti...,67,28,14.78,0.00022
GO:0046777,protein autophosphorylation,132,47,29.12,0.00025
GO:0006355,"regulation of transcription, DNA-templat...",1244,324,274.4,0.00028
GO:0009407,toxin catabolic process,31,16,6.84,0.00029
GO:1903506,regulation of nucleic acid-templated tra...,1245,324,274.62,0.00029
GO:0010565,regulation of cellular ketone metabolic ...,98,37,21.62,0.00030
GO:0071496,cellular response to external stimulus,184,61,40.59,0.00032
GO:2001141,regulation of RNA biosynthetic process,1247,324,275.06,0.00033
GO:0002252,immune effector process,69,28,15.22,0.00040
GO:0030148,sphingolipid biosynthetic process,32,16,7.06,0.00046
GO:0051252,regulation of RNA metabolic process,1323,340,291.82,0.00054
GO:0010556,regulation of macromolecule biosynthetic...,1397,357,308.15,0.00061
GO:0071489,cellular response to red or far red ligh...,51,22,11.25,0.00061
GO:0062012,regulation of small molecule metabolic p...,130,45,28.68,0.00067
GO:0009694,jasmonic acid metabolic process,42,19,9.26,0.00070
GO:0036211,protein modification process,1370,350,302.19,0.00070
GO:0044247,cellular polysaccharide catabolic proces...,19,11,4.19,0.00075
GO:0002229,defense response to oomycetes,55,23,12.13,0.00079
GO:0031326,regulation of cellular biosynthetic proc...,1539,389,339.47,0.00083
GO:0031328,positive regulation of cellular biosynth...,352,103,77.64,0.00084
GO:0044281,small molecule metabolic process,2237,551,493.43,0.00087
GO:2000112,regulation of cellular macromolecule bio...,1383,352,305.06,0.00090
GO:0044242,cellular lipid catabolic process,79,30,17.43,0.00095
GO:0032511,late endosome to vacuole transport via m...,25,13,5.51,0.00099
GO:0045324,late endosome to vacuole transport,43,19,9.48,0.00099
GO:0010942,positive regulation of cell death,28,14,6.18,0.00105
GO:0006914,autophagy,76,29,16.76,0.00105
GO:0061919,process utilizing autophagic mechanism,76,29,16.76,0.00105
GO:0006464,cellular protein modification process,1365,347,301.09,0.00106
GO:1900150,regulation of defense response to fungus,37,17,8.16,0.00106
GO:0043162,ubiquitin-dependent protein catabolic pr...,17,10,3.75,0.00111
GO:0042435,indole-containing compound biosynthetic ...,60,24,13.23,0.00130
GO:0045333,cellular respiration,112,39,24.7,0.00131
GO:0002684,positive regulation of immune system pro...,44,19,9.71,0.00139
GO:0050778,positive regulation of immune response,44,19,9.71,0.00139
GO:0045089,positive regulation of innate immune res...,41,18,9.04,0.00147
GO:1901575,organic substance catabolic process,1389,351,306.38,0.00152
GO:0009695,jasmonic acid biosynthetic process,26,13,5.74,0.00158
GO:0042180,cellular ketone metabolic process,157,51,34.63,0.00158
GO:0035970,peptidyl-threonine dephosphorylation,35,16,7.72,0.00159
GO:0042631,cellular response to water deprivation,32,15,7.06,0.00162
GO:0071462,cellular response to water stimulus,32,15,7.06,0.00162
GO:0015980,energy derivation by oxidation of organi...,124,42,27.35,0.00162
GO:0006351,"transcription, DNA-templated",1357,343,299.32,0.00169
GO:0010628,positive regulation of gene expression,339,98,74.78,0.00170
GO:0097659,nucleic acid-templated transcription,1358,343,299.54,0.00178
GO:1900424,regulation of defense response to bacter...,45,19,9.93,0.00192
GO:0051254,positive regulation of RNA metabolic pro...,297,87,65.51,0.00197
GO:0009403,toxin biosynthetic process,18,10,3.97,0.00201
GO:0009700,indole phytoalexin biosynthetic process,18,10,3.97,0.00201
GO:0046217,indole phytoalexin metabolic process,18,10,3.97,0.00201
GO:0052314,phytoalexin metabolic process,18,10,3.97,0.00201
GO:0052315,phytoalexin biosynthetic process,18,10,3.97,0.00201
GO:0016311,dephosphorylation,193,60,42.57,0.00214
GO:0044275,cellular carbohydrate catabolic process,39,17,8.6,0.00217
GO:0006082,organic acid metabolic process,1675,416,369.47,0.00217
GO:0032774,RNA biosynthetic process,1362,343,300.43,0.00217
GO:0060548,negative regulation of cell death,36,16,7.94,0.00228
GO:0015744,succinate transport,4,4,0.88,0.00236
GO:0007034,vacuolar transport,108,37,23.82,0.00237
GO:0006817,phosphate ion transport,24,12,5.29,0.00238
GO:1900055,regulation of leaf senescence,49,20,10.81,0.00240
GO:0055114,oxidation-reduction process,295,86,65.07,0.00242
GO:0002253,activation of immune response,30,14,6.62,0.00242
GO:0009065,glutamine family amino acid catabolic pr...,13,8,2.87,0.00243
GO:0002218,activation of innate immune response,27,13,5.96,0.00243
GO:0006851,mitochondrial calcium ion transmembrane ...,6,5,1.32,0.00255
GO:0036444,calcium import into the mitochondrion,6,5,1.32,0.00255
GO:0051560,mitochondrial calcium ion homeostasis,6,5,1.32,0.00255
GO:0060401,cytosolic calcium ion transport,6,5,1.32,0.00255
GO:0080024,indolebutyric acid metabolic process,6,5,1.32,0.00255
GO:0019219,regulation of nucleobase-containing comp...,1387,348,305.94,0.00259
GO:0006665,sphingolipid metabolic process,46,19,10.15,0.00260
GO:0010017,red or far-red light signaling pathway,46,19,10.15,0.00260
GO:0016042,lipid catabolic process,91,32,20.07,0.00285
GO:0006816,calcium ion transport,53,21,11.69,0.00291
GO:0010557,positive regulation of macromolecule bio...,309,89,68.16,0.00301
GO:0009267,cellular response to starvation,124,41,27.35,0.00302
GO:0009891,positive regulation of biosynthetic proc...,365,103,80.51,0.00304
GO:0140352,export from cell,99,34,21.84,0.00333
GO:0043436,oxoacid metabolic process,1599,396,352.7,0.00339
GO:0009889,regulation of biosynthetic process,1578,391,348.07,0.00347
GO:0006515,protein quality control for misfolded or...,31,14,6.84,0.00353
GO:0045893,"positive regulation of transcription, DN...",271,79,59.78,0.00354
GO:0001676,long-chain fatty acid metabolic process,11,7,2.43,0.00356
GO:0002221,pattern recognition receptor signaling p...,22,11,4.85,0.00361
GO:0006672,ceramide metabolic process,22,11,4.85,0.00361
GO:0071229,cellular response to acid chemical,44,18,9.71,0.00378
GO:0034605,cellular response to heat,61,23,13.46,0.00397
GO:0009648,photoperiodism,175,54,38.6,0.00411
GO:0030258,lipid modification,104,35,22.94,0.00425
GO:1902680,positive regulation of RNA biosynthetic ...,273,79,60.22,0.00436
GO:1903508,positive regulation of nucleic acid-temp...,273,79,60.22,0.00436
GO:0043328,protein transport to vacuole involved in...,14,8,3.09,0.00458
GO:1900425,negative regulation of defense response ...,14,8,3.09,0.00458
GO:0070588,calcium ion transmembrane transport,35,15,7.72,0.00472
GO:0071214,cellular response to abiotic stimulus,215,64,47.42,0.00485
GO:0104004,cellular response to environmental stimu...,215,64,47.42,0.00485
GO:0016054,organic acid catabolic process,142,45,31.32,0.00485
GO:0046395,carboxylic acid catabolic process,142,45,31.32,0.00485
GO:0010193,response to ozone,32,14,7.06,0.00502
GO:0031667,response to nutrient levels,192,58,42.35,0.00503
GO:0051176,positive regulation of sulfur metabolic ...,9,6,1.99,0.00516
GO:0000422,autophagy of mitochondrion,17,9,3.75,0.00519
GO:0061726,mitochondrion disassembly,17,9,3.75,0.00519
GO:0031325,positive regulation of cellular metaboli...,502,135,110.73,0.00532
GO:0010286,heat acclimation,52,20,11.47,0.00540
GO:0002764,immune response-regulating signaling pat...,20,10,4.41,0.00548
GO:0009251,glucan catabolic process,23,11,5.07,0.00555
GO:0031669,cellular response to nutrient levels,140,44,30.88,0.00626
GO:0009787,regulation of abscisic acid-activated si...,99,33,21.84,0.00636
GO:1901419,regulation of response to alcohol,99,33,21.84,0.00636
GO:1905957,regulation of cellular response to alcoh...,99,33,21.84,0.00636
GO:0048573,"photoperiodism, flowering",148,46,32.65,0.00661
GO:0010647,positive regulation of cell communicatio...,74,26,16.32,0.00682
GO:0046685,response to arsenic-containing substance,12,7,2.65,0.00693
GO:0032940,secretion by cell,60,22,13.23,0.00701
GO:0072583,clathrin-dependent endocytosis,30,13,6.62,0.00746
GO:0009967,positive regulation of signal transducti...,71,25,15.66,0.00764
GO:0031323,regulation of cellular metabolic process,1988,481,438.51,0.00765
GO:0009893,positive regulation of metabolic process,586,154,129.26,0.00765
GO:0009631,cold acclimation,50,19,11.03,0.00766
GO:0043067,regulation of programmed cell death,64,23,14.12,0.00780
GO:0042762,regulation of sulfur metabolic process,27,12,5.96,0.00789
GO:0052542,defense response by callose deposition,27,12,5.96,0.00789
GO:0042594,response to starvation,157,48,34.63,0.00789
GO:0010120,camalexin biosynthetic process,15,8,3.31,0.00793
GO:0052317,camalexin metabolic process,15,8,3.31,0.00793
GO:0016050,vesicle organization,93,31,20.51,0.00800
GO:0010363,regulation of plant-type hypersensitive ...,24,11,5.29,0.00823
GO:0032786,positive regulation of DNA-templated tra...,24,11,5.29,0.00823
GO:0031407,oxylipin metabolic process,21,10,4.63,0.00842
GO:0046834,lipid phosphorylation,21,10,4.63,0.00842
GO:0046854,phosphatidylinositol phosphorylation,21,10,4.63,0.00842
GO:0071417,cellular response to organonitrogen comp...,37,15,8.16,0.00870
GO:0048523,negative regulation of cellular process,833,212,183.74,0.00919
GO:0045935,positive regulation of nucleobase-contai...,321,89,70.81,0.00921
GO:0023056,positive regulation of signaling,72,25,15.88,0.00931
GO:0046903,secretion,65,23,14.34,0.00961
GO:0002679,respiratory burst involved in defense re...,5,4,1.1,0.00974
GO:0007205,protein kinase C-activating G protein-co...,5,4,1.1,0.00974
GO:0048577,negative regulation of short-day photope...,5,4,1.1,0.00974
GO:0070676,intralumenal vesicle formation,5,4,1.1,0.00974
GO:0071323,cellular response to chitin,5,4,1.1,0.00974
GO:0140426,PAMP-triggered immunity signalling pathw...,5,4,1.1,0.00974
GO:0033037,polysaccharide localization,41,16,9.04,0.01042
GO:0010185,regulation of cellular defense response,3,3,0.66,0.01072
GO:0015700,arsenite transport,3,3,0.66,0.01072
GO:0015709,thiosulfate transport,3,3,0.66,0.01072
GO:0016103,diterpenoid catabolic process,3,3,0.66,0.01072
GO:0018871,1-aminocyclopropane-1-carboxylate metabo...,3,3,0.66,0.01072
GO:0019379,"sulfate assimilation, phosphoadenylyl su...",3,3,0.66,0.01072
GO:0045487,gibberellin catabolic process,3,3,0.66,0.01072
GO:0051245,negative regulation of cellular defense ...,3,3,0.66,0.01072
GO:0071422,succinate transmembrane transport,3,3,0.66,0.01072
GO:1900366,negative regulation of defense response ...,3,3,0.66,0.01072
GO:0080135,regulation of cellular response to stres...,73,25,16.1,0.01125
GO:0052545,callose localization,38,15,8.38,0.01150
GO:0042908,xenobiotic transport,25,11,5.51,0.01182
GO:1901565,organonitrogen compound catabolic proces...,800,203,176.46,0.01206
GO:0055081,anion homeostasis,45,17,9.93,0.01209
GO:0070076,histone lysine demethylation,13,7,2.87,0.01218
GO:0016101,diterpenoid metabolic process,22,10,4.85,0.01244
GO:0002697,regulation of immune effector process,16,8,3.53,0.01282
GO:0005983,starch catabolic process,16,8,3.53,0.01282
GO:0009838,abscission,16,8,3.53,0.01282
GO:0050688,regulation of defense response to virus,16,8,3.53,0.01282
GO:0002757,immune response-activating signal transd...,19,9,4.19,0.01282
GO:0031408,oxylipin biosynthetic process,19,9,4.19,0.01282
GO:0043068,positive regulation of programmed cell d...,19,9,4.19,0.01282
GO:0051171,regulation of nitrogen compound metaboli...,1686,408,371.89,0.01365
GO:1905037,autophagosome organization,32,13,7.06,0.01390
GO:0007031,peroxisome organization,39,15,8.6,0.01496
GO:0009555,pollen development,218,62,48.09,0.01548
GO:0000266,mitochondrial fission,8,5,1.76,0.01594
GO:0007140,male meiotic nuclear division,8,5,1.76,0.01594
GO:0009595,detection of biotic stimulus,8,5,1.76,0.01594
GO:0010230,alternative respiration,8,5,1.76,0.01594
GO:0010438,cellular response to sulfur starvation,8,5,1.76,0.01594
GO:0010508,positive regulation of autophagy,8,5,1.76,0.01594
GO:0098581,detection of external biotic stimulus,8,5,1.76,0.01594
GO:1900034,regulation of cellular response to heat,8,5,1.76,0.01594
GO:0009060,aerobic respiration,64,22,14.12,0.01600
GO:0006898,receptor-mediated endocytosis,36,14,7.94,0.01661
GO:0006354,"DNA-templated transcription, elongation",43,16,9.48,0.01714
GO:0072329,monocarboxylic acid catabolic process,61,21,13.46,0.01801
GO:0051173,positive regulation of nitrogen compound...,437,115,96.39,0.01837
GO:0044282,small molecule catabolic process,200,57,44.12,0.01880
GO:0008300,isoprenoid catabolic process,11,6,2.43,0.01884
GO:0010227,floral organ abscission,11,6,2.43,0.01884
GO:0042436,indole-containing compound catabolic pro...,11,6,2.43,0.01884
GO:0022406,membrane docking,40,15,8.82,0.01917
GO:0140056,organelle localization by membrane tethe...,40,15,8.82,0.01917
GO:0002758,innate immune response-activating signal...,17,8,3.75,0.01961
GO:0005991,trehalose metabolic process,17,8,3.75,0.01961
GO:1900056,negative regulation of leaf senescence,17,8,3.75,0.01961
GO:1900057,positive regulation of leaf senescence,17,8,3.75,0.01961
GO:1905622,negative regulation of leaf development,17,8,3.75,0.01961
GO:1905623,positive regulation of leaf development,17,8,3.75,0.01961
GO:0016577,histone demethylation,14,7,3.09,0.01978
GO:0042343,indole glucosinolate metabolic process,14,7,3.09,0.01978
GO:0046513,ceramide biosynthetic process,14,7,3.09,0.01978
GO:0042537,benzene-containing compound metabolic pr...,58,20,12.79,0.02029
GO:0071472,cellular response to salt stress,30,12,6.62,0.02033
GO:0006366,transcription by RNA polymerase II,323,87,71.25,0.02095
GO:0006900,vesicle budding from membrane,44,16,9.71,0.02155
GO:0034654,nucleobase-containing compound biosynthe...,1569,378,346.09,0.02217
GO:0019752,carboxylic acid metabolic process,1300,316,286.75,0.02278
GO:0015698,inorganic anion transport,66,22,14.56,0.02304
GO:0002240,response to molecule of oomycetes origin,6,4,1.32,0.02410
GO:0015988,energy coupled proton transmembrane tran...,6,4,1.32,0.02410
GO:0015990,electron transport coupled proton transp...,6,4,1.32,0.02410
GO:0045730,respiratory burst,6,4,1.32,0.02410
GO:1900367,positive regulation of defense response ...,6,4,1.32,0.02410
GO:0006887,exocytosis,41,15,9.04,0.02421
GO:0009789,positive regulation of abscisic acid-act...,41,15,9.04,0.02421
GO:0071470,cellular response to osmotic stress,41,15,9.04,0.02421
GO:1901421,positive regulation of response to alcoh...,41,15,9.04,0.02421
GO:1905959,positive regulation of cellular response...,41,15,9.04,0.02421
GO:0010118,stomatal movement,143,42,31.54,0.02443
GO:0070417,cellular response to cold,24,10,5.29,0.02451
GO:1990961,xenobiotic detoxification by transmembra...,24,10,5.29,0.02451
GO:0072665,protein localization to vacuole,52,18,11.47,0.02579
GO:0072666,establishment of protein localization to...,52,18,11.47,0.02579
GO:0006935,chemotaxis,21,9,4.63,0.02664
GO:0010183,pollen tube guidance,21,9,4.63,0.02664
GO:0042330,taxis,21,9,4.63,0.02664
GO:0050918,positive chemotaxis,21,9,4.63,0.02664
GO:0090630,activation of GTPase activity,21,9,4.63,0.02664
GO:1901699,cellular response to nitrogen compound,45,16,9.93,0.02677
GO:0018105,peptidyl-serine phosphorylation,82,26,18.09,0.02733
GO:0018209,peptidyl-serine modification,82,26,18.09,0.02733
GO:0007033,vacuole organization,71,23,15.66,0.02860
GO:0006613,cotranslational protein targeting to mem...,18,8,3.97,0.02861
GO:0006614,SRP-dependent cotranslational protein ta...,18,8,3.97,0.02861
GO:0008285,negative regulation of cell population p...,18,8,3.97,0.02861
GO:0010506,regulation of autophagy,18,8,3.97,0.02861
GO:0050829,defense response to Gram-negative bacter...,18,8,3.97,0.02861
GO:0006915,apoptotic process,9,5,1.99,0.02942
GO:0016115,terpenoid catabolic process,9,5,1.99,0.02942
GO:0031204,posttranslational protein targeting to m...,9,5,1.99,0.02942
GO:0033169,histone H3-K9 demethylation,9,5,1.99,0.02942
GO:0046520,sphingoid biosynthetic process,9,5,1.99,0.02942
GO:0048587,"regulation of short-day photoperiodism, ...",9,5,1.99,0.02942
GO:0070509,calcium ion import,9,5,1.99,0.02942
GO:0043069,negative regulation of programmed cell d...,28,11,6.18,0.02970
GO:0048278,vesicle docking,28,11,6.18,0.02970
GO:0019438,aromatic compound biosynthetic process,1841,438,406.08,0.03013
GO:0005992,trehalose biosynthetic process,15,7,3.31,0.03015
GO:0006482,protein demethylation,15,7,3.31,0.03015
GO:0008214,protein dealkylation,15,7,3.31,0.03015
GO:0042126,nitrate metabolic process,15,7,3.31,0.03015
GO:0042128,nitrate assimilation,15,7,3.31,0.03015
GO:0044804,autophagy of nucleus,15,7,3.31,0.03015
GO:0016559,peroxisome fission,12,6,2.65,0.03075
GO:0048572,short-day photoperiodism,12,6,2.65,0.03075
GO:0048575,"short-day photoperiodism, flowering",12,6,2.65,0.03075
GO:0006357,regulation of transcription by RNA polym...,283,76,62.42,0.03121
GO:0061025,membrane fusion,53,18,11.69,0.03122
GO:1901658,glycosyl compound catabolic process,25,10,5.51,0.03298
GO:0010604,positive regulation of macromolecule met...,472,121,104.11,0.03381
GO:0010119,regulation of stomatal movement,95,29,20.95,0.03395
GO:0032784,regulation of DNA-templated transcriptio...,32,12,7.06,0.03434
GO:2000028,"regulation of photoperiodism, flowering",76,24,16.76,0.03463
GO:0006527,arginine catabolic process,4,3,0.88,0.03581
GO:0006855,drug transmembrane transport,4,3,0.88,0.03581
GO:0009061,anaerobic respiration,4,3,0.88,0.03581
GO:0009268,response to pH,4,3,0.88,0.03581
GO:0010726,positive regulation of hydrogen peroxide...,4,3,0.88,0.03581
GO:0016045,detection of bacterium,4,3,0.88,0.03581
GO:0019419,sulfate reduction,4,3,0.88,0.03581
GO:0019441,tryptophan catabolic process to kynureni...,4,3,0.88,0.03581
GO:0033540,fatty acid beta-oxidation using acyl-CoA...,4,3,0.88,0.03581
GO:0042344,indole glucosinolate catabolic process,4,3,0.88,0.03581
GO:0042759,long-chain fatty acid biosynthetic proce...,4,3,0.88,0.03581
GO:0044805,late nucleophagy,4,3,0.88,0.03581
GO:0070189,kynurenine metabolic process,4,3,0.88,0.03581
GO:0098543,detection of other organism,4,3,0.88,0.03581
GO:2000241,regulation of reproductive process,339,89,74.78,0.03637
GO:0009269,response to desiccation,22,9,4.85,0.03647
GO:0062013,positive regulation of small molecule me...,22,9,4.85,0.03647
GO:0045944,positive regulation of transcription by ...,84,26,18.53,0.03655
GO:0051607,defense response to virus,54,18,11.91,0.03746
GO:0009968,negative regulation of signal transducti...,96,29,21.18,0.03870
GO:0120254,olefinic compound metabolic process,58,19,12.79,0.03939
GO:0007602,phototransduction,19,8,4.19,0.04009
GO:0009585,"red, far-red light phototransduction",19,8,4.19,0.04009
GO:0016102,diterpenoid biosynthetic process,19,8,4.19,0.04009
GO:0050826,response to freezing,19,8,4.19,0.04009
GO:0006897,endocytosis,77,24,16.98,0.04011
GO:0090351,seedling development,160,45,35.29,0.04153
GO:0044237,cellular metabolic process,7884,1782,1739.03,0.04436
GO:0009062,fatty acid catabolic process,44,15,9.71,0.04526
GO:0009788,negative regulation of abscisic acid-act...,44,15,9.71,0.04526
GO:1901420,negative regulation of response to alcoh...,44,15,9.71,0.04526
GO:1905958,negative regulation of cellular response...,44,15,9.71,0.04526
GO:0035967,cellular response to topologically incor...,59,19,13.01,0.04647
GO:0006213,pyrimidine nucleoside metabolic process,7,4,1.54,0.04651
GO:0006670,sphingosine metabolic process,7,4,1.54,0.04651
GO:0046512,sphingosine biosynthetic process,7,4,1.54,0.04651
GO:0048317,seed morphogenesis,7,4,1.54,0.04651
